estimate,std_error,z_value,p_value,term,conf_low,conf_high,model
-0.8996428147600823,0.9048308799931897,-0.9942662597532631,0.3200932573583239,(Intercept),-2.8010601493193756,0.8170511633398101,summer_herbivore_presence
1.9419958188385857,1.1366353384589991,1.7085478104802367,0.08753474301938759,WVclassMedium,0.0358190227650347,4.941025625322366,summer_herbivore_presence
0.473626913982365,0.7165977253308535,0.6609383441228358,0.5086518545249118,WVclassHigh,-0.9026400430563305,1.9569349385426438,summer_herbivore_presence
0.4271938987558666,0.18616022500264157,2.2947646241285153,0.021746617011981596,logArea,0.0885248695457386,0.8291661123553733,summer_herbivore_presence
26.566064406668218,128055.58922357211,2.0745728138649657e-4,0.9998344730393429,(Intercept),NA,NA,summer_omnivore_presence
-4.663874491743631e-9,108401.15405953751,-4.3024214384120635e-14,0.9999999999999657,WVclassMedium,NA,NA,summer_omnivore_presence
1.5135617265080696e-9,102765.36173145006,1.472832578026982e-14,0.9999999999999882,WVclassHigh,NA,NA,summer_omnivore_presence
-2.3145391171401117e-10,23437.099420664334,-9.875535686380192e-15,0.9999999999999921,logArea,NA,NA,summer_omnivore_presence
21.561631493035712,5846.486964164746,0.003687963665222351,0.9970574374010549,(Intercept),-1212.5974746803622,NA,summer_carnivore_presence
-7.178236984593136e-5,8897.018999754084,-8.068137187064054e-9,0.9999999935625579,WVclassMedium,-1091.5104034483334,1091.510259883594,summer_carnivore_presence
-18.387164049666623,5846.486715601154,-0.003144993727703356,0.9974906621974816,WVclassHigh,NA,1215.7718896534154,summer_carnivore_presence
9.773997433843722e-4,0.44616054467293,0.0021906906718990164,0.9982520831334758,logArea,-0.9140067672151195,1.0710883687639385,summer_carnivore_presence
-3.5567534406549353,1.1818436578919547,-3.009495728901307,0.0026168175802682675,(Intercept),-6.103199922644998,-1.4177546903000888,winter_herbivore_presence
1.1957148983656993,0.6087251382175467,1.964293608552065,0.049496052472669236,WVclassMedium,0.038080595583989796,2.4462163088439763,winter_herbivore_presence
2.9320642673340505,1.1582224009830508,2.5315209452393916,0.011356903435453649,WVclassHigh,0.9532868349599646,5.576403853001346,winter_herbivore_presence
0.636645198399125,0.21405094657148008,2.9742694839544845,0.002936870262633854,logArea,0.2514635153126318,1.1016991436081605,winter_herbivore_presence
26.56606724234522,150049.5055595756,1.770486823216984e-4,0.999858735590603,(Intercept),NA,NA,winter_omnivore_presence
-4.302565857094152e-6,95499.97022663195,-4.505305966990031e-11,0.9999999999640529,WVclassMedium,NA,NA,winter_omnivore_presence
-5.85247213115821e-7,124668.03699768148,-4.694444760742524e-12,0.9999999999962543,WVclassHigh,NA,NA,winter_omnivore_presence
1.9170991665246215e-7,26613.58876667032,7.20345979391367e-12,0.9999999999942525,logArea,NA,NA,winter_omnivore_presence
-2.728844205383063,2.422576799212755,-1.1264221659638751,0.2599868688101269,(Intercept),-8.90502467403111,1.1946772039912628,winter_carnivore_presence
18.82084996554211,3394.432987744679,0.005544622631671693,0.9955760538741674,WVclassMedium,-382.2668706912903,NA,winter_carnivore_presence
20.786067034161732,4266.697329100545,0.004871699450624872,0.9961129615989562,WVclassHigh,-483.36879848833166,NA,winter_carnivore_presence
1.0646477231508629,0.5551004121258529,1.9179371873885132,0.05511897619466565,logArea,0.21086971547285122,2.5375740071772377,winter_carnivore_presence
