estimate,std_error,z_value,p_value,term,conf_low,conf_high,Estimate,model
-0.7507108500728675,0.5359505570351939,-1.4007091516532768,0.16130106490715243,(Intercept),-1.8011546393560276,0.2997329392102924,-0.7507108500728675,summer_herbivore_abundance
1.6526967540782178,0.43251343598825226,3.8211454640754967,1.3283327015602023e-4,WVclassMedium,0.8049859967115734,2.500407511444862,1.6526967540782178,summer_herbivore_abundance
1.0064154396044565,0.3966124759651999,2.5375284455064966,0.011163829519510482,WVclassHigh,0.229069270893407,1.783761608315506,1.0064154396044565,summer_herbivore_abundance
0.6166023538049265,0.09504972276616204,6.487155731341476,8.747191405250719e-11,logArea,0.43030832044273204,0.8028963871671209,0.6166023538049265,summer_herbivore_abundance
2.663375260408599,0.26899100853989477,9.901354230632533,4.106758763732629e-23,(Intercept),2.136162571505299,3.1905879493118987,2.663375260408599,summer_omnivore_abundance
0.5179840113054142,0.29745694655638616,1.741374734401184,0.08161791395640111,WVclassMedium,-0.06502089089635821,1.1009889135071864,0.5179840113054142,summer_omnivore_abundance
-0.18817157200405127,0.28504164348807026,-0.6601546696875074,0.5091545786004877,WVclassHigh,-0.746842927334775,0.3704997833266724,-0.18817157200405127,summer_omnivore_abundance
0.12130782503765479,0.05276724920808057,2.2989226624130747,0.021509331278284975,logArea,0.017885917026567208,0.22472973304874239,0.12130782503765479,summer_omnivore_abundance
1.7983430594810206,0.3182741321557535,5.650296011492907,1.6017177750593773e-8,(Intercept),1.1745372232450024,2.4221488957170387,1.7983430594810206,summer_carnivore_abundance
0.061931131206646825,0.2925930049430047,0.21166306152367045,0.8323699077612227,WVclassMedium,-0.5115406206099923,0.635402883023286,0.061931131206646825,summer_carnivore_abundance
-0.05272003491410728,0.27269518901012435,-0.19332953802918007,0.846700894675953,WVclassHigh,-0.5871927841312936,0.4817527143030791,-0.05272003491410728,summer_carnivore_abundance
0.16584177464452646,0.06227427731201372,2.6630862982737957,0.007742755420209975,logArea,0.043786433949719775,0.28789711533933315,0.16584177464452646,summer_carnivore_abundance
-1.0898952291683135,1.148486182855425,-0.9489841893078421,0.34262865346871724,(Intercept),-3.3408867843068286,1.1610963259702016,-1.0898952291683135,winter_herbivore_abundance
1.2558464631402766,0.5763217144965994,2.179071916867166,0.02932632610643031,WVclassMedium,0.12627665921856646,2.385416267061987,1.2558464631402766,winter_herbivore_abundance
-0.11290171485819654,0.7634736324992651,-0.1478789968012487,0.8824382640721165,WVclassHigh,-1.609282537702725,1.3834791079863318,-0.11290171485819654,winter_herbivore_abundance
0.6481007259706226,0.20350134120597893,3.1847491624865087,0.0014487952900255527,logArea,0.24924542640130715,1.0469560255399382,0.6481007259706226,winter_herbivore_abundance
3.5249607399691367,0.40195675899588923,8.76950234342293,1.7945768201978325e-18,(Intercept),2.7371399689947475,4.312781510943526,3.5249607399691367,winter_omnivore_abundance
0.5027104157795025,0.2574978096670098,1.952290065805204,0.05090377622798883,WVclassMedium,-0.001976017265786334,1.0073968488247913,0.5027104157795025,winter_omnivore_abundance
-0.8286953437130165,0.3385898040119644,-2.4474905442921537,0.014385489979825673,WVclassHigh,-1.492319165108942,-0.16507152231709088,-0.8286953437130165,winter_omnivore_abundance
0.007612606230182313,0.07488045542420461,0.10166346060605808,0.9190238060392101,logArea,-0.13915038954721565,0.15437560200758027,0.007612606230182313,winter_omnivore_abundance
0.9941384735730456,0.4366571977108784,2.2767023623673084,0.022804005362532954,(Intercept),0.1383060924695384,1.849970854676553,0.9941384735730456,winter_carnivore_abundance
0.5605217513315122,0.27173886884845866,2.0627220305538985,0.03913904555765758,WVclassMedium,0.027923355188880117,1.0931201474741443,0.5605217513315122,winter_carnivore_abundance
0.19227091524015888,0.3601802998567499,0.5338185217698704,0.5934670979697074,WVclassHigh,-0.5136695004199079,0.8982113309002258,0.19227091524015888,winter_carnivore_abundance
0.19054405990346698,0.07432749960470579,2.563574194165457,0.010360055574876067,logArea,0.04486483761732857,0.3362232821896054,0.19054405990346698,winter_carnivore_abundance
