dropped_grid,new_slope,pct_change,model,base_slope
294,0.0771051396256697,0.8227970439876945,summer_richness,0.07647589819595038
216,0.0762954025510183,-0.23601637795689265,summer_richness,0.07647589819595038
165,0.052051938878460456,-31.936806096620966,summer_richness,0.07647589819595038
145,0.07624199394506925,-0.3058535517710524,summer_richness,0.07647589819595038
373,0.07659812466754026,0.15982351887742008,summer_richness,0.07647589819595038
294,0.10130241101752091,0.0043102900730382044,summer_abundance,0.10129804477795266
216,0.10136366966953017,0.0647839666810525,summer_abundance,0.10129804477795266
165,0.25750889744159855,154.20914885974668,summer_abundance,0.10129804477795266
145,0.10131105544218696,0.01284394408877283,summer_abundance,0.10129804477795266
373,0.10134607718619111,0.04741691544366375,summer_abundance,0.10129804477795266
263,0.07826970880073154,-0.06297976314140671,winter_richness,0.07831903394280336
373,0.06338456838012427,-19.06875610031883,winter_richness,0.07831903394280336
237,0.0784510800848489,0.16860032025161661,winter_richness,0.07831903394280336
292,0.07838192998466917,0.08030747916495293,winter_richness,0.07831903394280336
294,0.07823224383891643,-0.11081610627413149,winter_richness,0.07831903394280336
263,0.064227911666748,0.07407703903254916,winter_abundance,0.06418036874993788
373,0.1430462029498849,122.88155355920009,winter_abundance,0.06418036874993788
237,0.06420756755171975,0.04237869353453271,winter_abundance,0.06418036874993788
292,0.0640083451623908,-0.2680314727036222,winter_abundance,0.06418036874993788
294,0.06412270844037841,-0.08984103812821775,winter_abundance,0.06418036874993788
